char,char_raw,type,S_x1,S_x1_lo,S_x1_hi,n_test,CG_peak,CG_lo,CG_hi,k_peak,sym_cov,LS,corpus
'l',l,lexical,6.1866,6.1483,6.2248,2149,-0.5549,-0.6425,-0.4673,2,1.0,1.0897,pride_prej
'r',r,lexical,6.4623,6.4316,6.4929,3182,-0.5571,-0.6324,-0.4818,2,1.0,1.0862,pride_prej
'a',a,lexical,6.1724,6.1534,6.1915,4031,-0.5874,-0.6395,-0.5353,2,1.0,1.0952,pride_prej
'j',j,lexical,8.8028,8.5642,9.0413,47,-0.6068,-1.1709,-0.0428,2,1.0,1.0689,pride_prej
'f',f,lexical,6.6545,6.5936,6.7154,1162,-0.6402,-0.7932,-0.4872,2,0.999,1.0962,pride_prej
'm',m,lexical,7.2862,7.231,7.3413,1376,-0.6455,-0.7998,-0.4913,2,1.0,1.0886,pride_prej
'y',y,lexical,6.6989,6.6639,6.7339,1435,-0.6724,-0.7752,-0.5695,2,1.0,1.1004,pride_prej
'u',u,lexical,6.3626,6.3111,6.4142,1683,-0.7052,-0.8409,-0.5695,2,1.0,1.1108,pride_prej
'M',M,lexical,7.1253,7.0363,7.2144,133,-0.7126,-1.0139,-0.4113,2,1.0,1.1,pride_prej
'D',D,lexical,6.0875,6.0331,6.1418,69,-0.7175,-1.0149,-0.4201,2,0.971,1.1179,pride_prej
'q',q,lexical,3.9535,3.8494,4.0576,59,-0.7189,-1.1496,-0.2883,2,1.0,1.1818,pride_prej
'k',k,lexical,8.8853,8.7876,8.9831,308,-0.7345,-0.9373,-0.5317,2,0.997,1.0827,pride_prej
'?',?,structural,9.7586,9.6358,9.8813,87,-0.7385,-0.9996,-0.4773,2,1.0,1.0757,pride_prej
'A',A,lexical,7.4531,7.309,7.5972,65,-0.7409,-1.0811,-0.4008,2,1.0,1.0994,pride_prej
'.',.,structural,8.3627,8.2227,8.5026,651,-0.755,-1.0613,-0.4487,2,0.997,1.0903,pride_prej
'i',i,lexical,6.3599,6.3169,6.4029,3488,-0.7577,-0.8594,-0.6559,2,0.999,1.1191,pride_prej
'g',g,lexical,6.3857,6.3589,6.4125,987,-0.8261,-0.909,-0.7431,2,1.0,1.1294,pride_prej
'p',p,lexical,6.4554,6.3719,6.539,819,-0.8372,-1.029,-0.6454,2,1.0,1.1297,pride_prej
'!',!,structural,9.3387,9.2116,9.4658,61,-0.858,-1.1902,-0.5258,2,1.0,1.0919,pride_prej
"','",",",structural,6.0344,5.9646,6.1042,943,-0.8649,-1.0128,-0.7169,2,0.997,1.1433,pride_prej
'o',o,lexical,6.2651,6.2468,6.2834,4267,-0.8756,-0.9268,-0.8243,2,1.0,1.1398,pride_prej
'C',C,lexical,8.6326,8.4397,8.8256,70,-0.8835,-1.3404,-0.4266,2,0.957,1.1023,pride_prej
'L',L,lexical,6.5517,6.5147,6.5887,121,-0.9045,-1.0738,-0.7352,2,0.992,1.1381,pride_prej
'H',H,lexical,5.6423,5.5663,5.7183,67,-0.9406,-1.1822,-0.6991,2,0.985,1.1667,pride_prej
'N',N,lexical,7.4097,7.1341,7.6854,32,-1.1213,-1.9617,-0.281,2,0.875,1.1513,pride_prej
'w',w,lexical,8.1727,8.1255,8.2199,1148,-1.1332,-1.2893,-0.9772,2,1.0,1.1387,pride_prej
'S',S,lexical,7.4736,7.2659,7.6813,43,-1.1549,-1.7486,-0.5613,2,0.907,1.1545,pride_prej
';',;,structural,9.8578,9.7619,9.9538,152,-1.2345,-1.4544,-1.0146,2,1.0,1.1252,pride_prej
'B',B,lexical,7.945,7.8778,8.0122,115,-1.3913,-1.6167,-1.166,2,1.0,1.1751,pride_prej
'Y',Y,lexical,4.4302,4.1228,4.7376,67,-1.5205,-2.368,-0.6731,2,1.0,1.3432,pride_prej
'T',T,lexical,7.2439,7.1837,7.304,97,-1.5847,-1.8793,-1.2901,2,0.928,1.2188,pride_prej
'W',W,lexical,8.1219,8.0101,8.2337,46,-1.6471,-2.2168,-1.0774,2,0.957,1.2028,pride_prej
'I',I,lexical,7.3266,7.2183,7.4348,381,-1.9395,-2.2378,-1.6411,2,0.99,1.2647,pride_prej
'x',x,lexical,6.0148,5.9405,6.0891,87,-2.7006,-3.0502,-2.3511,2,1.0,1.449,pride_prej
'f',f,lexical,7.611,7.5881,7.634,7190,0.9138,0.8312,0.9964,5,0.905,0.8799,python_stdlib
'@',@,structural,6.6963,6.6187,6.774,125,0.72,0.2818,1.1582,3,1.0,0.8925,python_stdlib
's',s,lexical,6.9712,6.9545,6.9879,10766,0.1524,0.1077,0.1971,2,1.0,0.9781,python_stdlib
'h',h,lexical,6.9118,6.8857,6.9378,1807,0.1421,0.0577,0.2266,2,1.0,0.9794,python_stdlib
'c',c,lexical,6.3925,6.3691,6.416,4876,0.0918,0.0316,0.152,2,1.0,0.9856,python_stdlib
'u',u,lexical,7.0054,6.9648,7.0459,3445,0.075,-0.0262,0.1761,2,0.999,0.9893,python_stdlib
'm',m,lexical,7.0993,7.0782,7.1204,3328,0.0717,0.0085,0.1349,2,1.0,0.9899,python_stdlib
'E',E,lexical,6.5236,6.4548,6.5924,635,0.054,-0.1748,0.2827,2,1.0,0.9917,python_stdlib
'i',i,lexical,6.424,6.3991,6.4489,8330,0.0102,-0.0494,0.0698,2,0.997,0.9984,python_stdlib
't',t,lexical,6.5028,6.4888,6.5167,9745,-0.0272,-0.0739,0.0194,2,1.0,1.0042,python_stdlib
'.',.,structural,7.5772,7.562,7.5925,3706,-0.0299,-0.0728,0.0131,2,1.0,1.0039,python_stdlib
'n',n,lexical,6.6361,6.6272,6.645,8277,-0.0347,-0.073,0.0036,2,1.0,1.0052,python_stdlib
'v',v,lexical,6.2312,6.1845,6.278,875,-0.0389,-0.1734,0.0957,2,0.999,1.0062,python_stdlib
'I',I,lexical,6.3155,6.1861,6.445,312,-0.0449,-0.3664,0.2766,2,1.0,1.0071,python_stdlib
'6',6,lexical,9.1319,8.9511,9.3128,83,-0.1463,-0.5629,0.2703,2,1.0,1.016,python_stdlib
'V',V,lexical,7.2847,7.1932,7.3763,130,-0.1519,-0.4578,0.1539,2,1.0,1.0209,python_stdlib
'o',o,lexical,6.5802,6.5542,6.6062,7069,-0.1631,-0.2227,-0.1034,2,0.999,1.0248,python_stdlib
':',:,structural,6.7836,6.7604,6.8069,2855,-0.1765,-0.2571,-0.0959,2,0.999,1.026,python_stdlib
'B',B,lexical,7.6161,7.3474,7.8849,89,-0.1772,-0.79,0.4356,2,1.0,1.0233,python_stdlib
'l',l,lexical,6.9888,6.9643,7.0132,7954,-0.1856,-0.2803,-0.0909,4,0.937,1.0266,python_stdlib
'(',(,structural,7.5336,7.5223,7.5448,4336,-0.1934,-0.2328,-0.154,2,1.0,1.0257,python_stdlib
'b',b,lexical,7.2134,7.1766,7.2502,1357,-0.1987,-0.3267,-0.0708,2,1.0,1.0275,python_stdlib
'r',r,lexical,6.9024,6.8861,6.9186,10600,-0.1996,-0.2534,-0.1458,2,0.998,1.0289,python_stdlib
'=',=,structural,6.9693,6.9321,7.0064,3192,-0.2009,-0.2935,-0.1082,2,1.0,1.0288,python_stdlib
'U',U,lexical,6.4094,6.2838,6.5349,161,-0.209,-0.5328,0.1147,2,0.919,1.0326,python_stdlib
'q',q,lexical,7.3633,7.286,7.4405,120,-0.2259,-0.4957,0.0438,2,1.0,1.0307,python_stdlib
'D',D,lexical,7.4121,7.342,7.4822,189,-0.2298,-0.4539,-0.0057,2,1.0,1.031,python_stdlib
'a',a,lexical,6.4572,6.4364,6.4779,8975,-0.2542,-0.3077,-0.2006,2,0.999,1.0394,python_stdlib
'5',5,lexical,8.7287,8.5304,8.9271,98,-0.2591,-0.7502,0.2321,2,1.0,1.0297,python_stdlib
'[',[,structural,7.7976,7.7179,7.8773,647,-0.2631,-0.4428,-0.0834,2,0.994,1.0337,python_stdlib
'e',e,lexical,6.541,6.5255,6.5566,18376,-0.2695,-0.3273,-0.2117,3,0.986,1.0412,python_stdlib
'd',d,lexical,7.3473,7.325,7.3696,4223,-0.2772,-0.3459,-0.2086,2,1.0,1.0377,python_stdlib
'w',w,lexical,7.0925,7.0482,7.1369,1278,-0.2822,-0.3912,-0.1731,2,1.0,1.0398,python_stdlib
'T',T,lexical,8.0228,7.9653,8.0803,636,-0.2888,-0.4772,-0.1003,2,1.0,1.036,python_stdlib
'2',2,lexical,8.0245,7.9301,8.1189,295,-0.2971,-0.511,-0.0832,2,0.993,1.037,python_stdlib
'k',k,lexical,6.7213,6.6854,6.7571,931,-0.3308,-0.4258,-0.2357,2,1.0,1.0492,python_stdlib
'p',p,lexical,6.6252,6.593,6.6574,4253,-0.3355,-0.4111,-0.2599,2,1.0,1.0506,python_stdlib
"','",",",structural,6.5751,6.5398,6.6104,3605,-0.3533,-0.4557,-0.2509,2,0.999,1.0537,python_stdlib
')',),structural,7.5881,7.5661,7.6101,4337,-0.3603,-0.4254,-0.2952,2,0.999,1.0475,python_stdlib
'N',N,lexical,7.5544,7.4688,7.6399,776,-0.3615,-0.5999,-0.123,2,1.0,1.0479,python_stdlib
'C',C,lexical,7.745,7.5693,7.9207,216,-0.3647,-0.7371,0.0077,2,1.0,1.0471,python_stdlib
'8',8,lexical,9.098,9.0032,9.1929,84,-0.3653,-0.578,-0.1526,2,1.0,1.0402,python_stdlib
'W',W,lexical,7.9966,7.6197,8.3735,66,-0.3731,-1.1486,0.4023,2,1.0,1.0467,python_stdlib
'4',4,lexical,9.156,9.0585,9.2535,88,-0.3801,-0.6291,-0.1312,2,1.0,1.0415,python_stdlib
'x',x,lexical,6.6701,6.6268,6.7134,684,-0.3855,-0.4954,-0.2756,2,1.0,1.0578,python_stdlib
'K',K,lexical,8.1131,7.9841,8.2421,70,-0.3911,-0.7084,-0.0738,2,1.0,1.0482,python_stdlib
'0',0,lexical,7.6085,7.566,7.651,615,-0.4192,-0.5628,-0.2755,2,1.0,1.0551,python_stdlib
'{',{,structural,8.1618,8.1215,8.2022,230,-0.4295,-0.5504,-0.3085,2,1.0,1.0526,python_stdlib
'S',S,lexical,7.5405,7.4399,7.6411,315,-0.4422,-0.6671,-0.2173,2,1.0,1.0586,python_stdlib
'R',R,lexical,7.5971,7.4859,7.7084,171,-0.4548,-0.7081,-0.2014,2,1.0,1.0599,python_stdlib
'G',G,lexical,7.7647,7.6787,7.8507,242,-0.4588,-0.6619,-0.2557,2,1.0,1.0591,python_stdlib
'g',g,lexical,6.8697,6.8407,6.8986,2297,-0.4646,-0.5315,-0.3976,2,1.0,1.0676,python_stdlib
'L',L,lexical,7.416,7.2881,7.5438,163,-0.4816,-0.7746,-0.1887,2,1.0,1.0649,python_stdlib
'9',9,lexical,8.4829,8.3143,8.6514,50,-0.489,-0.8251,-0.1529,2,1.0,1.0576,python_stdlib
'1',1,lexical,7.9394,7.8689,8.0098,591,-0.5777,-0.7403,-0.4152,2,1.0,1.0728,python_stdlib
'3',3,lexical,8.9035,8.7766,9.0304,102,-0.6067,-0.8882,-0.3253,2,0.99,1.0681,python_stdlib
'A',A,lexical,7.7987,7.7098,7.8877,320,-0.6418,-0.8455,-0.438,2,1.0,1.0823,python_stdlib
'X',X,lexical,7.4268,7.2568,7.5969,33,-0.6492,-1.0917,-0.2066,2,1.0,1.0874,python_stdlib
'P',P,lexical,9.1247,8.9945,9.2549,161,-0.6515,-0.9507,-0.3524,2,1.0,1.0714,python_stdlib
'M',M,lexical,9.2818,9.1719,9.3916,146,-0.7476,-1.0057,-0.4894,2,1.0,1.0805,python_stdlib
'O',O,lexical,6.8492,6.7936,6.9049,182,-0.7496,-0.9525,-0.5468,2,1.0,1.1094,python_stdlib
'y',y,lexical,7.1033,7.0472,7.1593,1752,-0.7705,-0.925,-0.6161,2,0.998,1.1085,python_stdlib
'<',<,structural,8.0267,8.0231,8.0304,132,-0.779,-1.0301,-0.528,2,1.0,1.0971,python_stdlib
']',],structural,8.3621,8.2556,8.4687,647,-0.8344,-1.1113,-0.5575,2,1.0,1.0998,python_stdlib
'j',j,lexical,6.8888,6.7326,7.0451,143,-0.9006,-1.2127,-0.5886,2,1.0,1.1307,python_stdlib
'Z',Z,lexical,8.7751,8.7353,8.8148,68,-0.9021,-1.1904,-0.6139,2,1.0,1.1028,python_stdlib
'}',},structural,7.4833,7.3485,7.6181,230,-0.9045,-1.1794,-0.6295,2,1.0,1.1209,python_stdlib
'|',|,structural,8.4347,8.4347,8.4347,45,-0.9133,-1.1193,-0.7073,2,1.0,1.1083,python_stdlib
'-',-,structural,7.5772,7.5263,7.628,268,-0.9268,-1.128,-0.7256,2,0.996,1.1223,python_stdlib
'F',F,lexical,8.3749,8.2445,8.5053,310,-0.9414,-1.2448,-0.638,2,1.0,1.1124,python_stdlib
'/',/,structural,7.9941,7.8174,8.1707,103,-0.9443,-1.4679,-0.4207,2,1.0,1.1181,python_stdlib
'+',+,structural,7.8937,7.8351,7.9522,167,-1.0049,-1.2427,-0.7671,2,1.0,1.1273,python_stdlib
'%',%,structural,6.8311,6.8043,6.858,109,-1.0508,-1.249,-0.8526,2,1.0,1.1538,python_stdlib
'*',*,structural,9.0829,9.0474,9.1183,322,-1.0823,-1.2376,-0.927,2,0.994,1.1192,python_stdlib
'&',&,structural,9.902,9.902,9.902,41,-1.4915,-1.7259,-1.2571,2,1.0,1.1506,python_stdlib
'>',>,structural,6.7496,6.491,7.0083,113,-1.9069,-2.368,-1.4458,2,1.0,1.2825,python_stdlib
'z',z,lexical,10.4624,10.4026,10.5221,298,-2.616,-2.8409,-2.3911,2,1.0,1.25,python_stdlib
